Soziales Lernen;SOZL
Mathematik_2;M2
AGR3;AGR3
F?rungstechnik und Kommunikation;FTK3
Physik des Fachgebietes;PHF
;FTPM
Physik und Chemie;PHC1
Androgene Koordination;ANDK
Betriebs- und Volkswirtschaft;BVW
Rechnungswesen mit Computereinsatz;RWC
Sprachfoerderung spezieller Zielgruppen;SSZ
Fahrzeugtechnik;FTEC
;BEGPB
Neue Mittelschule-Deutsch;NMD
Neue Mittelschule-Englisch;NME
Neue Mittelschule Geographie;NMG3
Mittleres Management;MMM
Geografie, Geschichte und politische Bildung;GGP
Messtechnik und Regelungssysteme;MTRS
Digitale Systeme und Computersysteme;DIC1
Kommunikationssysteme und -netze;KSN1
Fachspezifische Softwaretechnik;FSST
Prototypenbau elektronischer Systeme;PBE3
Prototypenbau elektronischer Systeme;PBE4
Sozial- und Personalkompetenz;SOPK
Neue Mittelschule - Einf?rung in die Informatik;NMEI
Bewegung und Sport - Knaben;BSPK
Bewegung und Sport - M?chen;BSPM
Neue Mittelschule-Lerncoaching;NMLC
Neue Mittelschule - Deutsch Teamteaching;NMD3
Neue Mittelschule - Englisch Teamteaching;NME3
Neue Mittelschule - Mathematik;NMM
Luftfahrzeugbau;LFB
Zweitsprache Deutsch;ZD
BIFI;BIFI
Schulqualit?sprozessmanagement;SQPM
Energiesysteme;ES1
Computergest?zte Projektentwicklung;CPE
Bildungsstandards;BIST
Religion Buddhistisch;RBUD
Hardwareentwicklung;HWE1
Hardwareentwicklung;HWE-GET
Hardwareentwicklung;HWE-EDT
Hardwareentwicklung;HWE-FTKL
Naturwissenschaftliche Grundlagen;NWG2-C
Naturwissenschaftliche Grundlagen;NWG2-P
Naturwissenschaften;NW2-C
Naturwissenschaften;NW2-P
Natutrwissenschaften;NW2-B
Kommunikationssysteme und - netze;KSN1-INI
Kommunikationssysteme und  -netze;KSN1-TKHF
Geografie, Geschichte und politische Bildung;GGP-G
Geografie, Geschichte und politische Bildung;GGP-H
Fachspezifische Softwaretechnik;FSST-FTKL
Messtechnik und Regelsysteme;MTRS-IE
Messtechnik und Regelsysteme;MTRS-EDT
Softwareentwicklung und Projektmanagement;SEPM
Mechatronik;MT
Informationssysteme;IS
FTKL-Labor;LA-FTKL
Propjektmamagement;PM
Antriebstechnik;AT1
Fachspezifische Informationstechnik;FI
Deutsch;D3
Hardware Laboratorium;HLA3
;BN
;XABS
Pers?lichkeiitsbildung;PSB
Geschichte und Geographie;GUG
Sprechstunde;Sprech
Erzieher;ERZ
Coaching;COA3
Automatisierungstechnik;AUT-E
Automatisierungstechnik;AUT-W
Automatisierungstechnik;AUT-CAD
Automatisierungstechnik;AUT-K
Netwerke und Embedded Software;NES
Betriebstechnik;BET-M
Unternehmensf?rung und Wirtschaftsrecht;UFW
Unternehmensf?rung und Wirtschaftsrecht;UFW-B
Unternehmensf?rung und Wirtschaftsrecht;UFW-P
Informationssysteme;INFI
Netzwerke und Embedded Software;NWES
Netzwerke und Embedded Software;NWES-D
Netzwerke und Embedded Software;NWES-E
Softwareentwicklung und Projektmanagement;SWP
Softwareentwicklung und Projektmanagement;SWP-SP
Softwareentwicklung und Projektmanagement;SWP-OP
Softwareentwicklung und Projektmanagement;SWP-W
Softwareentwicklung und Projektmanagement;SWP-SEPM
Informationssysteme;INFI-G
Elektronik Labor;ELA
Wirtschaft und Recht (Recht);WIR-R
Wirtschaft und Recht (Wirtschaft);WIR-W
Industrieelektronik 1;IE1
Maschinen und Anlagen;MANL
Content and language integrated learning;CLIL-FF
Energiesysteme Vertiefung;ES2
;AUT2
;FI2
Zentralausschuss BMHS;ZAB
P?. Hochschule, Lehrt?igkeit;PHL
P?. Hochschule, nicht unetrrichtl. T?igkeit;PHNL
